state,year,fertility_rate,median_income
Johor,2022,1.59,6826
Kedah,2022,1.83,4368
Kelantan,2022,2.65,3586
Melaka,2022,1.66,6161
Negeri Sembilan,2022,1.72,5179
Perak,2022,1.72,4460
Pahang,2022,2.1,4704
Perlis,2022,1.68,4695
Pulau Pinang,2022,1.17,6457
Sabah,2022,1.44,4535
Sarawak,2022,1.56,4934
Selangor,2022,1.46,9902
Terengganu,2022,2.88,5834
Kuala Lumpur,2022,1.19,10164
Labuan,2022,1.6,6860
Putrajaya,2022,1.76,9993
