state,population
Selangor,7050.3
Putrajaya,117
Johor,4028.3
Labuan,96.9
Pulau Pinang,1740.9
Melaka,1008.6
Kuala Lumpur,1961.2
Terengganu,1186.6
Negeri Sembilan,1207.6
Sarawak,2473.5
Sabah,3414.9
Pahang,1614.3
Perak,2514.4
Perlis,289.8
Kedah,2163.1
Kelantan,1830.6
